pop2023,country,birthRate
36684202.0,Angola,43.7
27202843.0,Niger,43.6
23293698.0,Mali,43.2
18278568.0,Chad,43.0
48582334.0,Uganda,42.4
20569737.0,Zambia,41.1
13238559.0,Burundi,40.9
20931751.0,Malawi,40.7
18143378.0,Somalia,39.3
5418377.0,Liberia,37.9
33897354.0,Mozambique,37.8
42239854.0,Afghanistan,37.5
2150842.0,Guinea-Bissau,37.3
23251485.0,Burkina Faso,36.9
11088796.0,South Sudan,36.9
14190612.0,Guinea,36.4
126527060.0,Ethiopia,36.0
8791092.0,Sierra Leone,36.0
67438106.0,Tanzania,35.3
223804632.0,Nigeria,35.2
28647293.0,Cameroon,35.0
13712828.0,Benin,34.5
48109006.0,Sudan,34.2
16665409.0,Zimbabwe,34.0
5742315.0,Central African Republic,34.0
6106869.0,Republic of the Congo,33.7
17763163.0,Senegal,32.9
1360596.0,Timor-Leste,32.9
102262808.0,DR Congo,32.8
9053799.0,Togo,32.8
1714671.0,Equatorial Guinea,31.7
231856.0,Sao Tome and Principe,31.5
30325732.0,Madagascar,31.0
34121985.0,Ghana,30.2
28873034.0,Ivory Coast,30.1
45504560.0,Iraq,30.0
4862989.0,Mauritania,29.9
14094683.0,Rwanda,29.8
3748901.0,Eritrea,29.1
112716598.0,Egypt,28.8
34449825.0,Yemen,27.6
2604172.0,Namibia,26.8
852075.0,Comoros,25.3
18092026.0,Guatemala,24.6
740424.0,Solomon Islands,24.5
2330318.0,Lesotho,24.2
41996.0,Marshall Islands,23.8
4644384.0,Oman,23.7
11396.0,Tuvalu,23.7
11337052.0,Jordan,23.6
334506.0,Vanuatu,23.5
117337368.0,Philippines,23.4
10329931.0,Papua New Guinea,23.3
1136455.0,Djibouti,23.3
7633779.0,Laos,23.2
12780.0,Nauru,23.2
410825.0,Belize,22.9
10143543.0,Tajikistan,22.8
55100586.0,Kenya,22.6
11724763.0,Haiti,22.6
16944826.0,Cambodia,22.5
10593798.0,Honduras,22.0
107773.0,Tonga,21.8
2675352.0,Botswana,21.7
240485658.0,Pakistan,21.6
12388571.0,Bolivia,21.6
6735347.0,Kyrgyzstan,21.6
45606480.0,Algeria,21.5
133515.0,Kiribati,21.0
23227014.0,Syria,20.7
225681.0,Samoa,20.2
60414495.0,South Africa,19.9
598682.0,Cape Verde,19.7
115224.0,Micronesia,19.6
172952.0,Guam,19.4
30896590.0,Nepal,19.1
43914.0,American Samoa,19.0
11332972.0,Dominican Republic,18.9
6516100.0,Turkmenistan,18.9
34308525.0,Malaysia,18.8
4310108.0,Kuwait,18.8
1428627663.0,India,18.7
172954319.0,Bangladesh,18.6
28838499.0,Venezuela,18.5
3447157.0,Mongolia,18.2
936375.0,Fiji,18.2
128455567.0,Mexico,18.1
9174520.0,Israel,17.9
54577997.0,Myanmar,17.7
34352719.0,Peru,17.6
18190484.0,Ecuador,17.6
4468087.0,Panama,17.6
37840044.0,Morocco,17.5
19606633.0,Kazakhstan,17.5
7046310.0,Nicaragua,17.5
89172767.0,Iran,17.4
12458223.0,Tunisia,17.4
6888388.0,Libya,17.2
787424.0,Bhutan,17.0
452524.0,Brunei,16.9
35163944.0,Uzbekistan,16.6
6861524.0,Paraguay,16.6
45773884.0,Argentina,16.5
2825544.0,Jamaica,16.5
6364943.0,El Salvador,16.1
521021.0,Maldives,16.1
277534122.0,Indonesia,15.9
52085168.0,Colombia,15.8
36947025.0,Saudi Arabia,15.6
623236.0,Suriname,15.6
94298.0,Antigua and Barbuda,15.6
85816199.0,Turkey,15.4
813834.0,Guyana,15.4
10412651.0,Azerbaijan,15.3
5212173.0,Costa Rica,15.3
98858950.0,Vietnam,15.2
126183.0,Grenada,15.2
49796.0,Northern Mariana Islands,14.9
46062.0,Turks and Caicos Islands,14.9
21893579.0,Sri Lanka,14.8
292991.0,New Caledonia,14.8
26160821.0,North Korea,14.6
308872.0,French Polynesia,14.5
53270.0,Faroe Islands,14.5
56643.0,Greenland,14.3
5353930.0,Lebanon,14.1
216422446.0,Brazil,13.9
5056935.0,Ireland,13.8
17044.0,Cook Islands,13.7
375318.0,Iceland,13.6
19629590.0,Chile,13.4
107660.0,Seychelles,13.4
2832439.0,Albania,13.2
5228100.0,New Zealand,13.1
1485509.0,Bahrain,13.1
180251.0,Saint Lucia,13.1
3423108.0,Uruguay,13.0
103698.0,Saint Vincent and the Grenadines,13.0
47755.0,Saint Kitts and Nevis,13.0
1300557.0,Mauritius,12.8
2777970.0,Armenia,12.6
98750.0,United States Virgin Islands,12.5
339996563.0,United States,12.4
15899.0,Anguilla,12.4
1534937.0,Trinidad and Tobago,12.3
106277.0,Aruba,12.3
5474360.0,Norway,12.2
1425671352.0,China,12.1
64756584.0,France,12.1
10612086.0,Sweden,12.1
3728282.0,Georgia,12.1
67736802.0,United Kingdom,12.0
26439111.0,Australia,12.0
69310.0,Cayman Islands,12.0
626485.0,Montenegro,11.9
654768.0,Luxembourg,11.6
281995.0,Barbados,11.6
11686140.0,Belgium,11.3
64069.0,Bermuda,11.3
18058.0,Palau,11.3
3435931.0,Moldova,11.2
31538.0,British Virgin Islands,11.1
71801279.0,Thailand,11.0
17618299.0,Netherlands,10.9
5910913.0,Denmark,10.9
84710.0,Isle of Man,10.9
3791.0,Falkland Islands,10.9
2085679.0,North Macedonia,10.8
144444359.0,Russia,10.7
5545475.0,Finland,10.7
11194449.0,Cuba,10.6
8796669.0,Switzerland,10.5
4386.0,Montserrat,10.5
39584.0,Liechtenstein,10.4
38781291.0,Canada,10.2
36744634.0,Ukraine,10.1
9498238.0,Belarus,10.0
535064.0,Malta,10.0
1322765.0,Estonia,9.9
9516871.0,United Arab Emirates,9.8
2718352.0,Lithuania,9.8
5795199.0,Slovakia,9.6
1830211.0,Latvia,9.6
8958960.0,Austria,9.5
2716391.0,Qatar,9.5
41026067.0,Poland,9.3
10495295.0,Czech Republic,9.2
2119675.0,Slovenia,9.2
47519628.0,Spain,9.0
10156239.0,Hungary,8.9
7149077.0,Serbia,8.9
7491609.0,Hong Kong,8.8
4008617.0,Croatia,8.8
19892812.0,Romania,8.7
6014723.0,Singapore,8.7
3210847.0,Bosnia and Herzegovina,8.7
83294633.0,Germany,8.6
33642.0,San Marino,8.6
58870762.0,Italy,8.5
6687717.0,Bulgaria,8.5
704149.0,Macau,8.4
51784059.0,South Korea,8.3
10341277.0,Greece,8.3
23923276.0,Taiwan,8.2
10247605.0,Portugal,8.2
123294513.0,Japan,8.0
80088.0,Andorra,7.3
36297.0,Monaco,6.5
